v_region_origen,v_region_destino,v_tipo_visitante,g_cantidad_visitantes_agrup,v_cantidad_noches_agrup,v_tipo_alojamiento_agrup,v_medio_transporte,v_motivo_viaje,g_quintil_pcf_visitante,g_nivel_ed_mayoritaria,g_cond_act_mayoritaria,j_sexo,j_edad,j_nivel_ed,j_cond_act,g_cant_menores,g_cant_jovenes,g_cant_adultos,g_cant_ancianos,g_cant_mujeres,g_cant_varones,v_cant_actividades_mayoritaria,g_viaje_familia_completa,g_promedio_edad_agrup,v_gasto_usd_agrup
Patagonia,Patagonia,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Provincia de Buenos Aires - Resto,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Superior completa o más,Ocupado,0,0,2 o más,0,1,1,1 o 2 actividades,No,"(45, 60]","(-1, 100]"
Patagonia,Patagonia,Turista,1 o 2 personas,4 a 7 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Varón,60 años o más,Superior completa o más,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Patagonia,Patagonia,Turista,1 o 2 personas,4 a 7 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Varón,60 años o más,Superior completa o más,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(-1, 100]"
Litoral,Provincia de Buenos Aires - Resto,Excursionista,3 o 4 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Tercer quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,Hasta 29 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,2,1,1 o 2 actividades,Si,"(0, 30]","(-1, 100]"
Patagonia,Patagonia,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,60 años o más,Primaria completa - secundaria incompleta,Inactivo,0,0,2 o más,1,2,1,0 actividades,Si,"(60, 70]","(-1, 100]"
Patagonia,Patagonia,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),Otro,Cuarto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,60 años o más,Primaria completa - secundaria incompleta,Inactivo,0,0,2 o más,1,2,1,0 actividades,Si,"(60, 70]","(-1, 100]"
Patagonia,Patagonia,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Ocupado,Varón,60 años o más,Primaria completa - secundaria incompleta,Ocupado,0,1,2 o más,0,1,2,0 actividades,Si,"(45, 60]","(-1, 100]"
Provincia de Buenos Aires - Resto,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Ocupado,Varón,45 a 59 años,Superior completa o más,Ocupado,0,1,1,0,1,1,1 o 2 actividades,Si,"(30, 45]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Varón,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,0,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Varón,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,0,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Varón,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,0,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Varón,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,0,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Provincia de Buenos Aires - Resto,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Inactivo,Varón,60 años o más,Superior completa o más,Ocupado,0,0,2 o más,0,1,1,más de 2 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Norte,Turista,1 o 2 personas,4 a 7 noches,Hotel o similar hasta 3 estrellas,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(100, 15000]"
Centro,Centro,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,1,0,2 o más,1,2,0 actividades,Si,"(45, 60]","(-1, 100]"
Centro,Centro,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,1 o 2 actividades,No,"(60, 70]","(-1, 100]"
Patagonia,Patagonia,Turista,5 o más personas,1 a 3 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Hasta primaria incompleta,Menor de 14 años,Varón,30 a 44 años,Superior completa o más,Ocupado,2 o más,2 o más,0,0,2,3 o más,0 actividades,Si,"(0, 30]","(100, 15000]"
Patagonia,Patagonia,Excursionista,5 o más personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Hasta primaria incompleta,Menor de 14 años,Varón,30 a 44 años,Superior completa o más,Ocupado,2 o más,2 o más,0,0,2,3 o más,1 o 2 actividades,Si,"(0, 30]","(-1, 100]"
Centro,Patagonia,Turista,1 o 2 personas,4 a 7 noches,Vivienda de familiares y amigos,Avión,Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,30 a 44 años,Secundaria completa - superior incompleta,Ocupado,0,2 o más,0,0,2,0,0 actividades,Si,"(30, 45]","(100, 15000]"
Centro,Ciudad de Buenos Aires,Turista,1 o 2 personas,1 a 3 noches,Hotel o similar hasta 3 estrellas,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Superior completa o más,Ocupado,0,1,1,0,1,1,1 o 2 actividades,Si,"(30, 45]","(100, 15000]"
Cuyo,Cuyo,Turista,3 o 4 personas,1 a 3 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Superior completa o más,Ocupado,Varón,45 a 59 años,Superior completa o más,Ocupado,1,0,2 o más,0,1,2,0 actividades,Si,"(30, 45]","(-1, 100]"
Cuyo,Cuyo,Turista,1 o 2 personas,1 a 3 noches,Vivienda de familiares y amigos,Omnibus,Visitas a familiares o amigos,Quinto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,1,1,0,0 actividades,Si,"(70, 100]","(-1, 100]"
Litoral,Litoral,Turista,3 o 4 personas,1 a 3 noches,Vivienda de familiares y amigos,Omnibus,Visitas a familiares o amigos,Cuarto quintil,Hasta primaria incompleta,Ocupado,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,1,2,0 actividades,Si,"(0, 30]","(-1, 100]"
Litoral,Litoral,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Hasta primaria incompleta,Ocupado,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,1,2,0 actividades,Si,"(0, 30]","(-1, 100]"
Litoral,Litoral,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Hasta primaria incompleta,Ocupado,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,1,2,0 actividades,Si,"(0, 30]","(-1, 100]"
Litoral,Litoral,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Hasta primaria incompleta,Ocupado,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,1,2,0 actividades,Si,"(0, 30]","(-1, 100]"
Litoral,Litoral,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Cuarto quintil,Hasta primaria incompleta,Ocupado,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,2 o más,0,0,1,2,0 actividades,Si,"(0, 30]","(-1, 100]"
Litoral,Cuyo,Turista,1 o 2 personas,8 a 14 noches,Hotel o similar hasta 3 estrellas,Avión,"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Ocupado,Mujer,60 años o más,Superior completa o más,Ocupado,0,0,0,1,1,0,1 o 2 actividades,No,"(70, 100]","(100, 15000]"
Cuyo,Cuyo,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,1,1,0,0 actividades,Si,"(60, 70]","(-1, 100]"
Norte,Norte,Turista,5 o más personas,4 a 7 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Hasta primaria incompleta,Menor de 14 años,Varón,30 a 44 años,Superior completa o más,Ocupado,2 o más,1,1,0,2,3 o más,0 actividades,Si,"(0, 30]","(100, 15000]"
Norte,Litoral,Turista,5 o más personas,8 a 14 noches,Hotel o similar hasta 3 estrellas,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Hasta primaria incompleta,Menor de 14 años,Varón,30 a 44 años,Superior completa o más,Ocupado,2 o más,1,1,0,2,3 o más,más de 2 actividades,Si,"(0, 30]","(100, 15000]"
Norte,Centro,Turista,1 o 2 personas,4 a 7 noches,Vivienda de familiares y amigos,Omnibus,Otro,Quinto quintil,Superior completa o más,Inactivo,Varón,60 años o más,Superior completa o más,Inactivo,0,0,0,2 o más,1,1,0 actividades,No,"(70, 100]","(100, 15000]"
Norte,Centro,Turista,3 o 4 personas,4 a 7 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Otro,Quinto quintil,Superior completa o más,Ocupado,Varón,60 años o más,Superior completa o más,Inactivo,1,2 o más,0,0,1,2,0 actividades,No,"(0, 30]","(-1, 100]"
Cuyo,Cuyo,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Primaria completa - secundaria incompleta,Ocupado,0,1,1,0,1,1,0 actividades,No,"(30, 45]","(-1, 100]"
Norte,Centro,Turista,1 o 2 personas,4 a 7 noches,Segunda vivienda del hogar,Automóvil o similar (propio),Otro,Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Superior completa o más,Ocupado,0,0,1,1,1,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Norte,Ciudad de Buenos Aires,Turista,1 o 2 personas,1 a 3 noches,Hotel o similar hasta 3 estrellas,Avión,Otro,Quinto quintil,Superior completa o más,Ocupado,Mujer,60 años o más,Superior completa o más,Ocupado,0,0,0,1,1,0,0 actividades,No,"(60, 70]","(100, 15000]"
Norte,Norte,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,más de 2 actividades,No,"(60, 70]","(-1, 100]"
Norte,Norte,Turista,3 o 4 personas,1 a 3 noches,Hotel o similar hasta 3 estrellas,Omnibus,Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Varón,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,2 o más,0,2 o más,1,3 o más,1 o 2 actividades,Si,"(45, 60]","(100, 15000]"
Norte,Norte,Turista,1 o 2 personas,1 a 3 noches,Vivienda de familiares y amigos,Omnibus,Visitas a familiares o amigos,Primer quintil,Primaria completa - secundaria incompleta,Ocupado,Varón,45 a 59 años,Primaria completa - secundaria incompleta,Ocupado,0,0,1,0,0,1,0 actividades,No,"(45, 60]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Primaria completa - secundaria incompleta,Ocupado,Varón,45 a 59 años,Primaria completa - secundaria incompleta,Ocupado,0,0,2 o más,0,1,1,0 actividades,No,"(45, 60]","(100, 15000]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Primaria completa - secundaria incompleta,Ocupado,Varón,45 a 59 años,Primaria completa - secundaria incompleta,Ocupado,0,0,2 o más,0,1,1,0 actividades,No,"(45, 60]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Patagonia,Turista,1 o 2 personas,1 a 3 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Primaria completa - secundaria incompleta,Ocupado,Varón,45 a 59 años,Primaria completa - secundaria incompleta,Ocupado,0,0,1,0,0,1,0 actividades,No,"(45, 60]","(100, 15000]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Omnibus,"Esparcimiento, ocio, recreacion",Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(60, 70]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Excursionista,5 o más personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Tercer quintil,Hasta primaria incompleta,Menor de 14 años,Varón,30 a 44 años,Secundaria completa - superior incompleta,Ocupado,2 o más,2 o más,0,0,2,3 o más,0 actividades,Si,"(0, 30]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(100, 15000]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(100, 15000]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Turista,1 o 2 personas,1 a 3 noches,Segunda vivienda del hogar,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Secundaria completa - superior incompleta,Ocupado,Mujer,45 a 59 años,Secundaria completa - superior incompleta,Ocupado,0,0,1,0,1,0,0 actividades,Si,"(45, 60]","(-1, 100]"
